"","WID","Filename","p","S_G","T","g","V","C","R_SD"
"1",1,"Sim_1_.csv",-1.453,2.38916666666667,480.916666666667,0.515166666666667,1.5624,5.87125,1.73820833333333
"2",2,"Sim_2_.csv",-1.223,2.28583333333333,400.883333333333,0.607166666666667,1.4856,0.73375,2.533875
"3",3,"Sim_3_.csv",1.071,3.38583333333333,741.083333333333,0.6605,3.6376,7.73375,1.53104166666667
"4",4,"Sim_4_.csv",-1.167,1.17416666666667,235.216666666667,0.1955,4.764,4.55875,2.500875
"5",5,"Sim_5_.csv",-0.643,0.959166666666667,276.283333333333,0.338166666666667,3.5976,3.61875,0.694125
"6",6,"Sim_6_.csv",2.335,1.4375,285.15,0.810166666666667,2.6712,5.78875,0.295375
"7",7,"Sim_7_.csv",1.309,4.48416666666667,621.616666666667,0.0815,1.0392,0.90375,2.632875
"8",8,"Sim_8_.csv",1.503,4.86583333333333,521.05,0.5555,0.3256,1.92125,1.717125
"9",9,"Sim_9_.csv",1.767,3.0775,728.483333333333,0.491166666666667,2.4216,7.76125,0.265125
"10",10,"Sim_10_.csv",-0.407,4.36416666666667,152.383333333333,0.9575,3.5144,0.62375,1.78495833333333
"11",11,"Sim_11_.csv",0.107,2.27916666666667,438.216666666667,0.531166666666667,3.724,2.04625,1.805125
"12",12,"Sim_12_.csv",0.0150000000000006,0.6575,576.116666666667,0.317166666666667,4.06,7.67875,0.634541666666667
"13",13,"Sim_13_.csv",0.549,2.1775,418.15,0.249166666666667,3.0216,2.64875,1.07545833333333
"14",14,"Sim_14_.csv",0.949,3.09083333333333,249.45,0.9865,4.4392,5.67375,2.049875
"15",15,"Sim_15_.csv",0.905,1.10416666666667,191.583333333333,0.827833333333333,3.1416,4.52625,0.598791666666667
"16",16,"Sim_16_.csv",1.423,4.84416666666667,509.15,0.832833333333333,4.7784,1.17875,0.676708333333333
"17",17,"Sim_17_.csv",-2.301,2.04416666666667,382.683333333333,0.565166666666667,0.6984,5.75875,1.961875
"18",18,"Sim_18_.csv",2.879,2.50583333333333,579.383333333333,0.891166666666667,4.652,6.99375,0.658375
"19",19,"Sim_19_.csv",1.979,4.96583333333333,772.116666666667,0.0975,4.0696,3.22125,2.66770833333333
"20",20,"Sim_20_.csv",-1.663,0.8475,671.316666666667,0.0991666666666667,2.0072,5.14625,1.37979166666667
"21",21,"Sim_21_.csv",0.607,2.76583333333333,448.25,0.157166666666667,1.0872,4.29875,2.93629166666667
"22",22,"Sim_22_.csv",-2.061,1.1425,798.25,0.966166666666667,1.8248,6.64125,1.16895833333333
"23",23,"Sim_23_.csv",0.345,4.1125,738.283333333333,0.771166666666667,2.1336,6.14125,1.79045833333333
"24",24,"Sim_24_.csv",1.707,2.79583333333333,263.45,0.6375,3.452,0.74125,1.59429166666667
"25",25,"Sim_25_.csv",-2.771,4.17416666666667,474.383333333333,0.2825,0.7144,7.52375,0.496125
"26",26,"Sim_26_.csv",0.605,0.7925,143.516666666667,0.8535,3.7704,5.26125,1.904125
